address,degree,in_degree,out_degree,pagerank,core,hub,authority,betweenness,value_in,value_out,value_net
0x0a20e8de70cffa386c0b73dbf4764809d0d94794,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
0x76a62f94d855f3c6757fe5a389ea8e367fe628f7,2,1,1,2.4462909647735355e-05,1,-2.2164829297912993e-29,4.381898010774735e-27,,0.014,0.006622,0.007378
0xe456871cdaf9b9ec337b1be337e93c67c36c584a,2,1,1,2.4462909647735355e-05,1,-2.2024248985241236e-29,4.381898010774735e-27,,0.014,0.00658,0.00742
0x0ea8b3717c0adf87fdc4a1ba1ca700c6ccbf1b7a,2,1,1,2.4462909647735355e-05,1,-2.1883668672569484e-29,4.381898010774735e-27,,0.014,0.006538,0.007462
0x5f0eba766c7b8119afd29e1caa17b079ca6ce7a6,2,1,1,2.4462909647735355e-05,1,-2.1743088359897732e-29,4.381898010774735e-27,,0.014,0.006496,0.007504
0x5b161c15aff89d358cceed38600735c5c8a7bf59,2,1,1,2.4462909647735355e-05,1,-2.1602508047225978e-29,4.381898010774735e-27,,0.014,0.006454,0.007546000000000001
0xbbdbbefb30aab65c7dd5e30f5f9358013bb6792f,2,1,1,2.4462909647735355e-05,1,-2.146192773455423e-29,4.381898010774735e-27,,0.014,0.006412,0.007588
0x0ced20b8734d290f948c1c1c49d1d021336243f6,2,1,1,2.4462909647735355e-05,1,-2.1321347421882475e-29,4.381898010774735e-27,,0.014,0.00637,0.0076300000000000005
0xd24fcea6077c01b58b19b39df70be4ba12ee546e,2,1,1,2.4462909647735355e-05,1,-2.1180767109210723e-29,4.381898010774735e-27,,0.014,0.006328,0.007672
0xf0b6b34f23d87ae480d8d0497c67f7e145f03cdd,2,1,1,2.4462909647735355e-05,1,-2.104018679653897e-29,4.381898010774735e-27,,0.014,0.006286,0.007714
0x84a060d56889fd4ba0f817cbc75a27823eb8cca4,2,1,1,2.4462909647735355e-05,1,-2.089960648386722e-29,4.381898010774735e-27,,0.014,0.006244,0.007756
0x22d289299c6d4e331d0dfb343333e35a9e2dd311,2,1,1,2.4462909647735355e-05,1,-2.0759026171195465e-29,4.381898010774735e-27,,0.014,0.006202,0.007798
0x5d6ba97ef1e0f87f118edd9372a6b7116226f0c7,2,1,1,2.4462909647735355e-05,1,-2.061844585852371e-29,4.381898010774735e-27,,0.014,0.00616,0.00784
0x8f251742ab91be51615a199ba1ff9253d92c70a9,2,1,1,2.4462909647735355e-05,1,-2.0477865545851962e-29,4.381898010774735e-27,,0.014,0.006118,0.007882
0x0b54b2fc857c823a1afe788d2c90deb068cdf0fc,2,1,1,2.4462909647735355e-05,1,-2.0337285233180207e-29,4.381898010774735e-27,,0.014,0.006076,0.007924
